fj_article,wikidata,wikidata_label,DOI
https://w3id.org/reproduceme/article_2746,http://www.wikidata.org/entity/Q7397,കമ്പ്യൂട്ടർ സോഫ്റ്റ്വെയർ,
https://w3id.org/reproduceme/article_1937,http://www.wikidata.org/entity/Q7397,കമ്പ്യൂട്ടർ സോഫ്റ്റ്വെയർ,
https://w3id.org/reproduceme/article_1308,http://www.wikidata.org/entity/Q7397,കമ്പ്യൂട്ടർ സോഫ്റ്റ്വെയർ,
https://w3id.org/reproduceme/article_2949,http://www.wikidata.org/entity/Q7397,കമ്പ്യൂട്ടർ സോഫ്റ്റ്വെയർ,
https://w3id.org/reproduceme/article_2886,http://www.wikidata.org/entity/Q7397,കമ്പ്യൂട്ടർ സോഫ്റ്റ്വെയർ,
https://w3id.org/reproduceme/article_1733,http://www.wikidata.org/entity/Q7397,കമ്പ്യൂട്ടർ സോഫ്റ്റ്വെയർ,
https://w3id.org/reproduceme/article_1146,http://www.wikidata.org/entity/Q7397,കമ്പ്യൂട്ടർ സോഫ്റ്റ്വെയർ,
https://w3id.org/reproduceme/article_97,http://www.wikidata.org/entity/Q7397,കമ്പ്യൂട്ടർ സോഫ്റ്റ്വെയർ,
https://w3id.org/reproduceme/article_1957,http://www.wikidata.org/entity/Q7397,കമ്പ്യൂട്ടർ സോഫ്റ്റ്വെയർ,
https://w3id.org/reproduceme/article_2055,http://www.wikidata.org/entity/Q7397,കമ്പ്യൂട്ടർ സോഫ്റ്റ്വെയർ,
https://w3id.org/reproduceme/article_2100,http://www.wikidata.org/entity/Q7397,കമ്പ്യൂട്ടർ സോഫ്റ്റ്വെയർ,
https://w3id.org/reproduceme/article_1403,http://www.wikidata.org/entity/Q7397,കമ്പ്യൂട്ടർ സോഫ്റ്റ്വെയർ,
https://w3id.org/reproduceme/article_2324,http://www.wikidata.org/entity/Q7397,കമ്പ്യൂട്ടർ സോഫ്റ്റ്വെയർ,
