id,repository_id,notebook_id,index,index_count,any,any_count,shadown_ref,shadown_ref_count,output_ref,output_ref_count,system,system_count,set_next_input,set_next_input_count,input_ref,input_ref_count,magic,magic_count,run_line_magic,run_line_magic_count,run_cell_magic,run_cell_magic_count,getoutput,getoutput_count,set_hook,set_hook_count,others,skip
1,6,2,"12,54,61",3,"echo,cat,_,__",4,"",0,"_,__",2,"echo,cat",2,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
2,8,3,"1,2,3,9,29,30",6,"pip,git,tar,mkdir,for",5,"",0,"",0,"pip,git,tar,mkdir,for",5,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
3,8,4,"1,2",2,pip,1,"",0,"",0,pip,1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
4,8,5,"1,2,3,9,32,33",6,"pip,git,tar,mkdir,for",5,"",0,"",0,"pip,git,tar,mkdir,for",5,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
5,8,6,"1,2",2,pip,1,"",0,"",0,pip,1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
6,8,7,"1,2,3,9,28,29,31,32",8,"pip,git,unzip,ls,cat,mkdir,for",7,"",0,"",0,"pip,git,unzip,ls,cat,mkdir,for",7,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
7,9,8,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
8,9,9,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
9,9,10,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
10,9,11,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
11,9,12,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
12,10,13,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
13,10,14,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
